SIGLA,NOME,CURSO,CAT,PER,SEM,AN,HOR,CH,REQ,EQV,COREQ
FIS322,FÍSICA EXPERIMENTAL II B,FIS,EQUIVALENTE,3,1,SIM,3T12,16,FIS212,-,FIS320
FIS322,FÍSICA EXPERIMENTAL II B,FIS,EQUIVALENTE,3,1,SIM,6M45,16,FIS212,-,FIS320
FIS322,FÍSICA EXPERIMENTAL II B,FIS,EQUIVALENTE,3,1,SIM,6M23,16,FIS212,-,FIS320
MAT252,ÁLGEBRA LINEAR E APLICAÇÕES,MAT,EQUIVALENTE,3,0,NÃO,2T12 4T34,64,MAT00D,-,-
ECOS01A,SISTEMAS OPERACIONAIS,ECO,EQUIVALENTE,4,1,NÃO,2M23,32,(ECOP04 E ECOP14 ) OU ECOP02A,-,-
ECOS11A,LABORATÓRIO DE SISTEMAS OPERACIONAIS,ECO,EQUIVALENTE,4,0,NÃO,6T1,16,-,-,ECOS01A
ECOS11A,LABORATÓRIO DE SISTEMAS OPERACIONAIS,ECO,EQUIVALENTE,4,0,NÃO,6T3,16,-,-,ECOS01A
ECOS11A,LABORATÓRIO DE SISTEMAS OPERACIONAIS,ECO,EQUIVALENTE,4,1,NÃO,3M2,16,-,-,ECOS01A
ECOS11A,LABORATÓRIO DE SISTEMAS OPERACIONAIS,ECO,EQUIVALENTE,4,1,NÃO,3M4,16,-,-,ECOS01A
ECOT02A,PROJETO DE SOFTWARE,ECO,EQUIVALENTE,4,1,NÃO,5T34,32,ECOP13A OU ECOP06,-,-
ECOT12A,LABORATÓRIO DE PROJETO DE SOFTWARE,ECO,EQUIVALENTE,4,0,NÃO,2T34,32,-,-,ECOT02A
ECOT12A,LABORATÓRIO DE PROJETO DE SOFTWARE,ECO,EQUIVALENTE,4,1,NÃO,5M23,32,-,-,ECOT02A
ECOT12A,LABORATÓRIO DE PROJETO DE SOFTWARE,ECO,EQUIVALENTE,4,1,NÃO,5M45,32,-,-,ECOT02A
ELTA02A,ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,1,NÃO,3M23,32,ELTA01A E ELTA11A,-,-
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,0,NÃO,4T34,32,-,-,ELTA02A
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,0,NÃO,5T12,32,-,-,ELTA02A
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,0,NÃO,5T34,32,-,-,ELTA02A
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,1,NÃO,2T12,32,-,-,ELTA02A
ELTA12A,LABORATÓRIO DE ELETRÔNICA ANALÓGICA II,ECO,EQUIVALENTE,4,1,NÃO,2T34,32,-,-,ELTA02A
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,0,NÃO,4T12,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,0,NÃO,5T12,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,0,NÃO,5T34,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,1,NÃO,5T34,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,1,NÃO,6T12,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,1,NÃO,6T34,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,1,NÃO,3T12,32,ELTD01A E ELTD11A,-,-
ELTD12A,ELETRÔNICA DIGITAL II,ECO,EQUIVALENTE,4,1,NÃO,3T34,32,ELTD01A E ELTD11A,-,-
EMAG01,ELETROMAGNETISMO,FIS,EQUIVALENTE,4,0,NÃO,4M23 2T34,64,(FIS210 OU FIS203) E FIS212,-,-
EMAG01,ELETROMAGNETISMO,FIS,EQUIVALENTE,4,1,NÃO,4T12 6T34,64,(FIS210 OU FIS203) E FIS212,-,-
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,5T34,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,4T12,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,2T12,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,5M23,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,4M45,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,5T34,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,0,NÃO,4T12,16,FIS212,-,EMAG01
FIS412,FÍSICA EXPERIMENTAL III,FIS,EQUIVALENTE,4,1,NÃO,4M45,16,FIS212,-,EMAG01
ECAC09,SINAIS E SISTEMAS,ECO,EQUIVALENTE,5,0,NÃO,3M23 5M45,64,MAT00D,-,-
ECAC19,LABORATÓRIO DE SINAIS E SISTEMAS,ECO,EQUIVALENTE,5,1,NÃO,4M4,16,-,-,ECAC09
ECAC19,LABORATÓRIO DE SINAIS E SISTEMAS,ECO,EQUIVALENTE,5,0,NÃO,3T1,16,-,-,ECAC09
ECAC19,LABORATÓRIO DE SINAIS E SISTEMAS,ECO,EQUIVALENTE,5,0,NÃO,3T3,16,-,-,ECAC09
ECO141A,LABORATÓRIO DE METODOLOGIA CIENTÍFICA E ANÁLISE DE DADOS,ECO,EQUIVALENTE,5,1,SIM,2T3,16,-,-,ECO140A
ECOS03,SISTEMAS OPERACIONAIS EMBARCADOS,ECO,EQUIVALENTE,5,0,NÃO,5M23,32,ECOS01A OU ECOP04,-,-
ECOS13,LABORATÓRIO DE SISTEMAS OPERACIONAIS EMBARCADOS,ECO,EQUIVALENTE,5,1,NÃO,6M4,16,-,-,ECOS03
ECOS13,LABORATÓRIO DE SISTEMAS OPERACIONAIS EMBARCADOS,ECO,EQUIVALENTE,5,0,NÃO,5T1,16,-,-,ECOS03
ECOS13,LABORATÓRIO DE SISTEMAS OPERACIONAIS EMBARCADOS,ECO,EQUIVALENTE,5,0,NÃO,5T3,16,-,-,ECOS03
ECOT13A,LABORATÓRIO DE BANCO DE DADOS,ECO,EQUIVALENTE,5,1,SIM,3T34,32,-,-,ECOT03A
TELC13A,LABORATÓRIO DE REDES DE COMPUTADORES,ECO,EQUIVALENTE,5,1,SIM,4M4,16,-,-,TELC13A
ECOS12A,LABORATÓRIO DE SISTEMAS DISTRIBUÍDOS,ECO,EQUIVALENTE,6,0,SIM,3M4,16,-,-,ECOS02A
ECOT11A,LABORATÓRIO DE ENGENHARIA DE SOFTWARE,ECO,EQUIVALENTE,6,0,SIM,5M4,16,-,-,ECOT01A
ELTD03A,MICROCONTROLADORES E MICROPROCESSADORES,ECO,EQUIVALENTE,6,1,NÃO,2M23,32,ELTD01A E ELTD11A E ECOP04 E ECOP14,-,-
ELTD13A,LABORATÓRIO DE MICROCONTROLADORES E MICROPROCESSADORES,ECO,EQUIVALENTE,6,0,NÃO,4M45,32,-,-,ELTD03A
ELTD13A,LABORATÓRIO DE MICROCONTROLADORES E MICROPROCESSADORES,ECO,EQUIVALENTE,6,1,NÃO,4T12,32,-,-,ELTD03A
ELTD13A,LABORATÓRIO DE MICROCONTROLADORES E MICROPROCESSADORES,ECO,EQUIVALENTE,6,1,NÃO,4T34,32,-,-,ELTD03A
ELTD13A,LABORATÓRIO DE MICROCONTROLADORES E MICROPROCESSADORES,ECO,EQUIVALENTE,6,1,NÃO,4T5 4N1,32,-,-,ELTD03A
PBLE00,FUNDAMENTOS DE PROJETOS MECÂNICOS,ECO,EQUIVALENTE,6,1,NÃO,46M45,64,-,-,-
TELC11A,LABORATÓRIO DE TELECOMUNICAÇÕES I,ECO,EQUIVALENTE,6,0,NÃO,4M2,16,-,-,TELC01A
TELC11A,LABORATÓRIO DE TELECOMUNICAÇÕES I,ECO,EQUIVALENTE,6,0,NÃO,5M2,16,-,-,TELC01A
TELC11A,LABORATÓRIO DE TELECOMUNICAÇÕES I,ECO,EQUIVALENTE,6,1,NÃO,3M2,16,-,-,TELC01A
TELC11A,LABORATÓRIO DE TELECOMUNICAÇÕES I,ECO,EQUIVALENTE,6,1,NÃO,3M4,16,-,-,TELC01A
ECOM09A,INTELIGÊNCIA ARTIFICIAL APLICADA,ECO,EQUIVALENTE,7,1,SIM,6M45,32,ECOM08A,-,-
ELT052A,QUÍMICA E CIÊNCIA DOS MATERIAIS,ECO,EQUIVALENTE,7,0,NÃO,4M45,32,-,-,-
ELT052A,QUÍMICA E CIÊNCIA DOS MATERIAIS,ECO,EQUIVALENTE,7,0,NÃO,2M45,32,-,-,-
ELTD05A,PROJETO DE SISTEMAS DIGITAIS,ECO,EQUIVALENTE,7,0,NÃO,5T34,32,ELTD12A,-,-
ELTD15A,LABORATÓRIO DE PROJETO DE SISTEMAS DIGITAIS,ECO,EQUIVALENTE,7,1,NÃO,4T34,32,-,-,ELTD05A
ELTD15A,LABORATÓRIO DE PROJETO DE SISTEMAS DIGITAIS,ECO,EQUIVALENTE,7,1,NÃO,5T12,32,-,-,ELTD05A
ELTD15A,LABORATÓRIO DE PROJETO DE SISTEMAS DIGITAIS,ECO,EQUIVALENTE,7,0,NÃO,5M45,32,-,-,ELTD05A
ELTD15A,LABORATÓRIO DE PROJETO DE SISTEMAS DIGITAIS,ECO,EQUIVALENTE,7,0,NÃO,5M23,32,-,-,ELTD05A
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,1,NÃO,6M123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,1,NÃO,3T345,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,1,NÃO,6T123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,1,NÃO,2M123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,1,NÃO,4N345,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,0,NÃO,5M123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,0,NÃO,6M123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,0,NÃO,6T123,48,-,-,-
IEPG20,INTRODUÇÃO À ECONOMIA,ADM,EQUIVALENTE,7,0,NÃO,6T345,48,-,-,-
PBLC01,DESENVOLVIMENTO DE PROJETO DE SOFTWARE,ECO,EQUIVALENTE,7,0,NÃO,4T12 5T34,64,ECOT03A E ECOT13A,-,-
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,3T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,4T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,4T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,3T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,2T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,2T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,6M45,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,1,NÃO,6M23,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,5T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,5T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,4T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,4T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,3T34,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,3T12,16,-,-,ELT052A
QUI212,QUÍMICA GERAL EXPERIMENTAL,ECO,EQUIVALENTE,7,0,NÃO,2T12,16,-,-,ELT052A
TELC02A,TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,0,NÃO,5T12,32,TELC01A E TELC11A E ELTA02A E ELTA12A,-,-
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,1,NÃO,2T34,32,-,-,TELC02A
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,1,NÃO,3T12,32,-,-,TELC02A
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,1,NÃO,3T34,32,-,-,TELC02A
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,0,NÃO,3M23,32,-,-,TELC02A
TELC12A,LABORATÓRIO DE TELECOMUNICAÇÕES II,ECO,EQUIVALENTE,7,0,NÃO,2M45,32,-,-,TELC02A
ECAC14A,PROCESSAMENTO DIGITAL DE SINAIS,ECO,EQUIVALENTE,8,0,NÃO,6T1234,64,ECAC09 E ECAC19,-,-
ECAC14A,PROCESSAMENTO DIGITAL DE SINAIS,ECO,EQUIVALENTE,8,1,NÃO,6T1234,64,ECAC09 E ECAC19,-,-
ECO103,INFORMÁTICA E SOCIEDADE,ECO,EQUIVALENTE,8,1,NÃO,6T12,32,ECOT01A,-,-
ELTD14A,LABORATÓRIO DE MICROPROCESSADOR AVANÇADO,ECO,EQUIVALENTE,8,0,SIM,5M4,16,-,-,ELTD04A
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,6M45,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,6T12,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,3M23,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,3T34,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,5M23,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,5T34,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,1,NÃO,4T12,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,0,NÃO,5N34,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,0,NÃO,5T12,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,0,NÃO,6T12,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,0,NÃO,5M23,48,-,-,-
IEPG10,Engenharia Econômica,ADM,EQUIVALENTE,8,0,NÃO,4N12,48,-,-,-
IEPG22,Administração Aplicada,ADM,EQUIVALENTE,8,1,NÃO,3T34,32,-,-,-
IEPG22,Administração Aplicada,ADM,EQUIVALENTE,8,1,NÃO,4N12,32,-,-,-
IRN001,CIÊNCIAS DO AMBIENTE,ECO,EQUIVALENTE,8,1,SIM,4M4,32,-,-,-
EAM002,CIÊNCIAS DO AMBIENTE,ECO,EQUIVALENTE,8,1,NÃO,7T1234,64,-,-,-
EAM002,CIÊNCIAS DO AMBIENTE,ECO,EQUIVALENTE,8,0,NÃO,7T1234,64,-,-,-
ADM01E,EMPREENDEDORISMO E NOVOS NEGÓCIOS,ADM,OPTATIVA,0,0,SIM,7M3 5N34,48,-,-,-
ADM03E,EMPREENDEDORISMO TECNOLÓGICO,ADM,OPTATIVA,0,0,SIM,3N345,48,-,-,-
ADM03E,EMPREENDEDORISMO TECNOLÓGICO,ADM,OPTATIVA,0,0,SIM,7M5 3N12,48,-,-,-
ADM04E,EMPREENDEDORISMO E SUSTENTABILIDADE,ADM,OPTATIVA,0,0,SIM,7M4 4N34,48,-,-,-
CDES05,PROGRAMAÇÃO LÓGICA E FUNCIONAL,CCO,OPTATIVA,0,0,SIM,4T34 6T12,64,ECOM01A,-,-
CDES13,DESENVOLVIMENTO DE JOGOS,CCO,OPTATIVA,0,0,SIM,3T34 5T12,64,ECOP13A,-,-
CMAC04,MODELAGEM COMPUTACIONAL,CCO,OPTATIVA,0,0,SIM,45T34,64,MAT00A,-,-
CMCO05,INTRODUÇÃO À COMPUTAÇÃO VISUAL,CCO,OPTATIVA,0,1,SIM,56T34,64,XMAC02 E ECOP13A,-,-
ECAA14A,LABORATÓRIO DE AUTOMAÇÃO PNEUMÁTICA E HIDRÁULICA,ECA,OPTATIVA,0,1,SIM,6T34,32,-,-,ECAA04A
ECAA04A,AUTOMAÇÃO PNEUMÁTICA E HIDRÁULICA,ECA,OPTATIVA,0,1,SIM,6T12,32,-,-,-
ECAC02A,CONTROLE CLÁSSICO,ECA,OPTATIVA,0,0,SIM,45T12,64,ECAC01B E MAT252,-,-
ECAE01,CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,1,SIM,3T12,32,-,-,-
ECAE01,CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,0,NÃO,5M45,32,-,-,-
ECAE11,LABORATÓRIO DE CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,1,SIM,5M45,32,-,-,ECAE01
ECAE11,LABORATÓRIO DE CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,1,SIM,4M23,32,-,-,ECAE01
ECAE11,LABORATÓRIO DE CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,1,SIM,4M45,32,-,-,ECAE01
ECAE11,LABORATÓRIO DE CIRCUITOS DE CORRENTE CONTÍNUA,ECA,OPTATIVA,0,1,SIM,5M23,32,-,-,ECAE01
ECAE02,CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,2T34 6T12,64,-,-,-
ECAE12,LABORATÓRIO DE CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,3T12,16,-,-,ECAE02
ECAE12,LABORATÓRIO DE CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,3T34,16,-,-,ECAE02
ECAE12,LABORATÓRIO DE CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,6M23,16,-,-,ECAE02
ECAE12,LABORATÓRIO DE CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,5M45,16,-,-,ECAE02
ECAE12,LABORATÓRIO DE CIRCUITOS DE CORRENTE ALTERNADA E POLIFÁSICOS,ECA,OPTATIVA,0,0,SIM,4M23,16,-,-,ECAE02
ECAT03,INSTRUMENTAÇÃO ELETRÔNICA,ECA,OPTATIVA,0,1,SIM,3T12,32,ELTA13A OU ELTA13,-,-
ECAT13,LABORATÓRIO DE INSTRUMENTAÇÃO ELETRÔNICA,ECA,OPTATIVA,0,1,SIM,3M2,16,-,-,ECAT03
ECAT13,LABORATÓRIO DE INSTRUMENTAÇÃO ELETRÔNICA,ECA,OPTATIVA,0,1,SIM,3M4,16,-,-,ECAT03
ECOX03,SEGURANÇA DA INFORMAÇÃO,ECO,OPTATIVA,0,1,SIM,2N123,48,ECOS01A E TELC03A,-,-
ECOX07,PROGRAMAÇÃO APLICADA,ECO,OPTATIVA,0,0,SIM,2T123,48,ECOP13A,-,-
ECOX08,INFRAESTRUTURA DE REDES LOCAIS,ECO,OPTATIVA,0,1,SIM,3T345,48,TELC03A E TELC13A,-,-
ECOX12,TÓPICOS ESPECIAIS EM SISTEMAS DISTRIBUÍDOS,ECO,OPTATIVA,0,0,SIM,2T345,48,ECOS02A,-,-
ECOX21,MARATONA DE PROGRAMAÇÃO I,ECO,OPTATIVA,0,0,SIM,4N123,48,ECOP11A,-,-
ECOX22,MARATONA DE PROGRAMAÇÃO Ii,ECO,OPTATIVA,0,1,SIM,4N123,48,ECOX21,-,-
ELTA03A,CONDICIONAMENTO DE SINAIS,ECO,OPTATIVA,0,0,SIM,2M23,32,ELTA01A E ELTA10A,-,-
ELTA13A,LABORATÓRIO DE CONDICIONAMENTO DE SINAIS,ECO,OPTATIVA,0,0,SIM,6T1,16,-,-,ELTA03A
ELTA13A,LABORATÓRIO DE CONDICIONAMENTO DE SINAIS,ECO,OPTATIVA,0,0,SIM,6T3,16,-,-,ELTA03A
ELTA05,COMPATIBILIDADE ELETROMAGNÉTICA,ECO,OPTATIVA,0,1,NÃO,4M123,48,-,-,-
ELTA05,COMPATIBILIDADE ELETROMAGNÉTICA,ECO,OPTATIVA,0,0,NÃO,3M123,48,-,-,-
ELTE02,ENGENHARIA DE USABILIDADE,ECO,OPTATIVA,0,0,SIM,35T12,64,ECO101A,-,-
ELTE03,PROJETO ROBUSTO DE PRODUTOS,ECO,OPTATIVA,0,1,SIM,24T12,64,PBLE01 E ELTE02,-,-
ELTP01A,MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,1,NÃO,24M45,64,ELTA01A E ELTA11A E EMAG01 E FIS412,-,-
ELTP01A,MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,NÃO,5M45 6T12,64,ELTA01A E ELTA11A E EMAG01 E FIS412,-,-
ELTP11A,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,1,NÃO,3M4,16,-,-,ELTP01A
ELTP11A,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,NÃO,6M45,16,-,-,ELTP01A
ELTP11A,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,NÃO,5M23,16,-,-,ELTP01A
ELTP11A,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,NÃO,3M45,16,-,-,ELTP01A
ELTP11A,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,NÃO,3M23,16,-,-,ELTP01A
ELTP02,CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,1,NÃO,2M23 3M45,32,ELTP01A E ELTP11A,-,-
ELTP02,CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,0,NÃO,6M45,32,ELTP01A E ELTP11A,-,-
ELTP12,LABORATÓRIO DE CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,1,NÃO,2T34 4T12,16,-,-,ELTP02
ELTP12,LABORATÓRIO DE CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,1,NÃO,2T12,16,-,-,ELTP02
ELTP12,LABORATÓRIO DE CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,0,NÃO,2T34 4T12,16,-,-,ELTP02
ELTP12,LABORATÓRIO DE CONVERSORES ELETRÔNICOS DE POTÊNCIA,ECO,OPTATIVA,0,0,NÃO,4T2,16,-,-,ELTP02
EMAG02,ELETROMAGNETISMO APLICADO,ECO,OPTATIVA,0,0,SIM,46T12,64,EMAG01 E FIS412,-,-
IEPG01,Empreendedorismo e Inovação,ADM,OPTATIVA,0,1,NÃO,3N345,48,-,-,-
IEPG01,Empreendedorismo e Inovação,ADM,OPTATIVA,0,1,NÃO,7M1 4N34,48,-,-,-
IEPG01,Empreendedorismo e Inovação,ADM,OPTATIVA,0,0,NÃO,3T345,48,-,-,-
IESTI01,TINYML - APRENDIZADO DE MÁQUINA APLICADO PARA DISPOSITIVOS IOT EMBARCADOS,ECO,OPTATIVA,0,1,SIM,4T34 5T12,32,-,-,-
LET007,Libras - Língua Brasileira de Sinais,LET,OPTATIVA,0,1,NÃO,5N345,48,-,-,-
LET007,Libras - Língua Brasileira de Sinais,LET,OPTATIVA,0,1,NÃO,5T345,48,-,-,-
LET007,Libras - Língua Brasileira de Sinais,LET,OPTATIVA,0,0,NÃO,4N345,48,-,-,-
LET007,Libras - Língua Brasileira de Sinais,LET,OPTATIVA,0,0,NÃO,3T345,48,-,-,-
PBLE01,CO-DESIGN DE PRODUTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,SIM,3M45 3N12,64,ELTA01A E ELTA11A,-,-
PBLE02,BOARD BRING-UP E VALIDAÇÃO DE PROTÓTIPOS ELETRÔNICOS,ECO,OPTATIVA,0,0,SIM,3T34 3N12,64,PBLE01 OU ECOP04,-,-
PBLE03,PROJETO DE INSTRUMENTOS E TRANSMISSORES,ECO,OPTATIVA,0,0,SIM,6T34 6N12,64,ECAT03 E ECAT13 E ELTA00A E ELTA10A,-,-
PBLE04,PROJETO DE MODULADOR CONFIGURÁVEL EM FPGA,ECO,OPTATIVA,0,1,NÃO,4T34 5T12,64,TELC01A E TELC11A E ELTD05A E ELTD15A,-,-
PBLE04,PROJETO DE MODULADOR CONFIGURÁVEL EM FPGA,ECO,OPTATIVA,0,0,NÃO,3T12,64,TELC01A E TELC11A E ELTD05A E ELTD15A,-,-
PBLE05,ORGANIZAÇÃO INDUSTRIAL E MANUFATURA DE PRODUTOS ELETRÔNICOS,ECO,OPTATIVA,0,0,SIM,6M23 6N12,64,PBLE01 E IEPG10,-,-
SDES06,GERÊNCIA DE PROJETOS DE SOFTWARE,CCO,OPTATIVA,0,0,SIM,2N34 5N12,64,ECOT01A E ECOT11A,-,-
XAHC02,Interação Humano Computador,CCO,OPTATIVA,0,0,NÃO,23T12,64,ECOX05,-,-
XAHC02,Interação Humano Computador,SIN,OPTATIVA,0,1,NÃO,2N34 5N12,64,ECOX05,-,-
XMAC02,Métodos Matemáticos para Análise de Dados,CCO,OPTATIVA,0,1,NÃO,46T12,64,MAT00A E ECOM01A E ECOP02A,-,-
XMAC02,Métodos Matemáticos para Análise de Dados,SIN,OPTATIVA,0,0,NÃO,3N34 4N12,64,MAT00A E ECOM01A E ECOP02A,-,-
